Phylum	Group	Sum
p__Mucoromycota	arabidopsis_thaliana_Spain_soil	0.00721428571428571
p__Olpidiomycota	arabidopsis_thaliana_Spain_soil	0.001125
p__Rozellomycota	arabidopsis_thaliana_Spain_soil	0.00167857142857143
p__Zoopagomycota	arabidopsis_thaliana_Spain_soil	0
Unassigned	arabidopsis_thaliana_Spain_soil	0.0187857142857143
p__Aphelidiomycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Ascomycota	arabidopsis_thaliana_Spain_rhizoplane	0.74375
p__Basidiobolomycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Basidiomycota	arabidopsis_thaliana_Spain_rhizoplane	0.0426875
p__Chytridiomycota	arabidopsis_thaliana_Spain_rhizoplane	0.00175
p__Entomophthoromycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Entorrhizomycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Glomeromycota	arabidopsis_thaliana_Spain_rhizoplane	0.00025
p__Kickxellomycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Monoblepharomycota	arabidopsis_thaliana_Spain_rhizoplane	0
p__Mortierellomycota	arabidopsis_thaliana_Spain_rhizoplane	0.0265625
p__Mucoromycota	arabidopsis_thaliana_Spain_rhizoplane	0.000125
p__Olpidiomycota	arabidopsis_thaliana_Spain_rhizoplane	0.18125
p__Rozellomycota	arabidopsis_thaliana_Spain_rhizoplane	5e-04
p__Zoopagomycota	arabidopsis_thaliana_Spain_rhizoplane	0
Unassigned	arabidopsis_thaliana_Spain_rhizoplane	0.003125
p__Aphelidiomycota	arabidopsis_thaliana_Spain_rhizosphere	0.000232142857142857
p__Ascomycota	arabidopsis_thaliana_Spain_rhizosphere	0.769642857142857
p__Basidiobolomycota	arabidopsis_thaliana_Spain_rhizosphere	0
p__Basidiomycota	arabidopsis_thaliana_Spain_rhizosphere	0.102410714285714
p__Chytridiomycota	arabidopsis_thaliana_Spain_rhizosphere	0.0227678571428571
p__Entomophthoromycota	arabidopsis_thaliana_Spain_rhizosphere	0
p__Entorrhizomycota	arabidopsis_thaliana_Spain_rhizosphere	0
p__Glomeromycota	arabidopsis_thaliana_Spain_rhizosphere	0.000571428571428571
p__Kickxellomycota	arabidopsis_thaliana_Spain_rhizosphere	0
p__Monoblepharomycota	arabidopsis_thaliana_Spain_rhizosphere	0.000410714285714286
p__Mortierellomycota	arabidopsis_thaliana_Spain_rhizosphere	0.0391607142857143
p__Mucoromycota	arabidopsis_thaliana_Spain_rhizosphere	0.00514285714285714
p__Olpidiomycota	arabidopsis_thaliana_Spain_rhizosphere	0.0304821428571429
p__Rozellomycota	arabidopsis_thaliana_Spain_rhizosphere	0.00360714285714286
p__Zoopagomycota	arabidopsis_thaliana_Spain_rhizosphere	0
Unassigned	arabidopsis_thaliana_Spain_rhizosphere	0.0255714285714286
p__Aphelidiomycota	arabidopsis_thaliana_Spain_root	0
p__Ascomycota	arabidopsis_thaliana_Spain_root	0.97525
p__Basidiobolomycota	arabidopsis_thaliana_Spain_root	0
p__Basidiomycota	arabidopsis_thaliana_Spain_root	0.024125
p__Chytridiomycota	arabidopsis_thaliana_Spain_root	0
p__Entomophthoromycota	arabidopsis_thaliana_Spain_root	0
p__Entorrhizomycota	arabidopsis_thaliana_Spain_root	0
p__Glomeromycota	arabidopsis_thaliana_Spain_root	0
p__Kickxellomycota	arabidopsis_thaliana_Spain_root	0
p__Monoblepharomycota	arabidopsis_thaliana_Spain_root	0
p__Mortierellomycota	arabidopsis_thaliana_Spain_root	0.000625
p__Mucoromycota	arabidopsis_thaliana_Spain_root	0
p__Olpidiomycota	arabidopsis_thaliana_Spain_root	0
p__Rozellomycota	arabidopsis_thaliana_Spain_root	0
p__Zoopagomycota	arabidopsis_thaliana_Spain_root	0
Unassigned	arabidopsis_thaliana_Spain_root	0
p__Aphelidiomycota	arabidopsis_thaliana_Germany_rhizosphere	0.000235714285714286
p__Ascomycota	arabidopsis_thaliana_Germany_rhizosphere	0.671228571428571
p__Basidiobolomycota	arabidopsis_thaliana_Germany_rhizosphere	0
p__Basidiomycota	arabidopsis_thaliana_Germany_rhizosphere	0.1298
p__Chytridiomycota	arabidopsis_thaliana_Germany_rhizosphere	0.0258928571428571
p__Entomophthoromycota	arabidopsis_thaliana_Germany_rhizosphere	1.42857142857143e-05
p__Entorrhizomycota	arabidopsis_thaliana_Germany_rhizosphere	0
p__Glomeromycota	arabidopsis_thaliana_Germany_rhizosphere	0.0051
p__Kickxellomycota	arabidopsis_thaliana_Germany_rhizosphere	0.000792857142857143
p__Monoblepharomycota	arabidopsis_thaliana_Germany_rhizosphere	0
p__Mortierellomycota	arabidopsis_thaliana_Germany_rhizosphere	0.0391928571428571
p__Mucoromycota	arabidopsis_thaliana_Germany_rhizosphere	0.00130714285714286
p__Olpidiomycota	arabidopsis_thaliana_Germany_rhizosphere	0.0528285714285714
p__Rozellomycota	arabidopsis_thaliana_Germany_rhizosphere	0.01025
p__Zoopagomycota	arabidopsis_thaliana_Germany_rhizosphere	7.14285714285714e-06
Unassigned	arabidopsis_thaliana_Germany_rhizosphere	0.06335
p__Aphelidiomycota	arabidopsis_thaliana_France_rhizosphere	0.000303030303030303
p__Ascomycota	arabidopsis_thaliana_France_rhizosphere	0.698136363636364
p__Basidiobolomycota	arabidopsis_thaliana_France_rhizosphere	0
p__Basidiomycota	arabidopsis_thaliana_France_rhizosphere	0.116166666666667
p__Chytridiomycota	arabidopsis_thaliana_France_rhizosphere	0.0256515151515152
p__Entomophthoromycota	arabidopsis_thaliana_France_rhizosphere	1.51515151515152e-05
p__Entorrhizomycota	arabidopsis_thaliana_France_rhizosphere	0
p__Glomeromycota	arabidopsis_thaliana_France_rhizosphere	0.00575757575757576
p__Kickxellomycota	arabidopsis_thaliana_France_rhizosphere	0.000560606060606061
p__Monoblepharomycota	arabidopsis_thaliana_France_rhizosphere	0
p__Mortierellomycota	arabidopsis_thaliana_France_rhizosphere	0.0197727272727273
p__Mucoromycota	arabidopsis_thaliana_France_rhizosphere	0.000590909090909091
p__Olpidiomycota	arabidopsis_thaliana_France_rhizosphere	0.0366060606060606
p__Rozellomycota	arabidopsis_thaliana_France_rhizosphere	0.0266969696969697
p__Zoopagomycota	arabidopsis_thaliana_France_rhizosphere	0
Unassigned	arabidopsis_thaliana_France_rhizosphere	0.0697424242424242
p__Aphelidiomycota	arabidopsis_thaliana_Sweden_soil	4.76190476190476e-05
p__Ascomycota	arabidopsis_thaliana_Sweden_soil	0.788636904761905
p__Basidiobolomycota	arabidopsis_thaliana_Sweden_soil	0
p__Basidiomycota	arabidopsis_thaliana_Sweden_soil	0.120470238095238
p__Chytridiomycota	arabidopsis_thaliana_Sweden_soil	0.00449404761904762
p__Entomophthoromycota	arabidopsis_thaliana_Sweden_soil	5.95238095238095e-06
p__Entorrhizomycota	arabidopsis_thaliana_Sweden_soil	0.0013452380952381
p__Glomeromycota	arabidopsis_thaliana_Sweden_soil	0.00988690476190476
