ID	Exemplar	Cluster	Cluster_size
ASV_36	ASV_369	55	21
ASV_286	ASV_369	55	21
ASV_293	ASV_369	55	21
ASV_369	ASV_369	55	21
ASV_405	ASV_369	55	21
ASV_434	ASV_369	55	21
ASV_509	ASV_369	55	21
ASV_529	ASV_369	55	21
ASV_633	ASV_369	55	21
ASV_942	ASV_369	55	21
ASV_1022	ASV_369	55	21
ASV_1274	ASV_369	55	21
ASV_1454	ASV_369	55	21
ASV_1556	ASV_369	55	21
ASV_1997	ASV_369	55	21
ASV_2228	ASV_369	55	21
ASV_2274	ASV_369	55	21
ASV_2321	ASV_369	55	21
ASV_2679	ASV_369	55	21
ASV_3218	ASV_369	55	21
ASV_3274	ASV_369	55	21
ASV_200	ASV_380	56	39
ASV_373	ASV_380	56	39
ASV_380	ASV_380	56	39
ASV_441	ASV_380	56	39
ASV_483	ASV_380	56	39
ASV_886	ASV_380	56	39
ASV_945	ASV_380	56	39
ASV_1065	ASV_380	56	39
ASV_1224	ASV_380	56	39
ASV_1268	ASV_380	56	39
ASV_1497	ASV_380	56	39
ASV_1502	ASV_380	56	39
ASV_1557	ASV_380	56	39
ASV_1571	ASV_380	56	39
ASV_1622	ASV_380	56	39
ASV_1646	ASV_380	56	39
ASV_1706	ASV_380	56	39
ASV_1807	ASV_380	56	39
ASV_1951	ASV_380	56	39
ASV_2034	ASV_380	56	39
ASV_2172	ASV_380	56	39
ASV_2189	ASV_380	56	39
ASV_2294	ASV_380	56	39
ASV_2341	ASV_380	56	39
ASV_2364	ASV_380	56	39
ASV_2415	ASV_380	56	39
ASV_2435	ASV_380	56	39
ASV_2528	ASV_380	56	39
ASV_2534	ASV_380	56	39
ASV_2538	ASV_380	56	39
ASV_2560	ASV_380	56	39
ASV_2594	ASV_380	56	39
ASV_2775	ASV_380	56	39
ASV_2827	ASV_380	56	39
ASV_3025	ASV_380	56	39
ASV_3121	ASV_380	56	39
ASV_3363	ASV_380	56	39
ASV_3392	ASV_380	56	39
ASV_3586	ASV_380	56	39
ASV_435	ASV_435	57	23
ASV_575	ASV_435	57	23
ASV_628	ASV_435	57	23
ASV_1271	ASV_435	57	23
ASV_1311	ASV_435	57	23
ASV_1319	ASV_435	57	23
ASV_1397	ASV_435	57	23
ASV_1437	ASV_435	57	23
ASV_1461	ASV_435	57	23
ASV_1539	ASV_435	57	23
ASV_1699	ASV_435	57	23
ASV_1783	ASV_435	57	23
ASV_2056	ASV_435	57	23
ASV_2685	ASV_435	57	23
ASV_2992	ASV_435	57	23
ASV_3151	ASV_435	57	23
ASV_3228	ASV_435	57	23
ASV_3530	ASV_435	57	23
ASV_3950	ASV_435	57	23
ASV_3958	ASV_435	57	23
ASV_4144	ASV_435	57	23
ASV_4342	ASV_435	57	23
ASV_4932	ASV_435	57	23
ASV_51	ASV_464	58	7
ASV_71	ASV_464	58	7
ASV_233	ASV_464	58	7
ASV_464	ASV_464	58	7
ASV_646	ASV_464	58	7
ASV_1478	ASV_464	58	7
ASV_2210	ASV_464	58	7
ASV_243	ASV_476	59	45
ASV_265	ASV_476	59	45
ASV_426	ASV_476	59	45
ASV_476	ASV_476	59	45
ASV_576	ASV_476	59	45
ASV_636	ASV_476	59	45
ASV_656	ASV_476	59	45
ASV_762	ASV_476	59	45
ASV_1246	ASV_476	59	45
ASV_1264	ASV_476	59	45
ASV_1486	ASV_476	59	45
ASV_1598	ASV_476	59	45
ASV_1614	ASV_476	59	45
ASV_1616	ASV_476	59	45
ASV_1638	ASV_476	59	45
ASV_1670	ASV_476	59	45
ASV_1701	ASV_476	59	45
ASV_1844	ASV_476	59	45
ASV_1899	ASV_476	59	45
ASV_1978	ASV_476	59	45
ASV_1980	ASV_476	59	45
ASV_2003	ASV_476	59	45
ASV_2090	ASV_476	59	45
ASV_2094	ASV_476	59	45
ASV_2178	ASV_476	59	45
ASV_2221	ASV_476	59	45
ASV_2286	ASV_476	59	45
ASV_2371	ASV_476	59	45
ASV_2503	ASV_476	59	45
ASV_2546	ASV_476	59	45
ASV_2577	ASV_476	59	45
ASV_2585	ASV_476	59	45
ASV_2586	ASV_476	59	45
ASV_2587	ASV_476	59	45
ASV_2700	ASV_476	59	45
ASV_2793	ASV_476	59	45
ASV_2846	ASV_476	59	45
ASV_3003	ASV_476	59	45
ASV_3052	ASV_476	59	45
ASV_3064	ASV_476	59	45
ASV_3171	ASV_476	59	45
ASV_3172	ASV_476	59	45
ASV_3353	ASV_476	59	45
ASV_3486	ASV_476	59	45
ASV_3628	ASV_476	59	45
ASV_313	ASV_544	60	31
ASV_542	ASV_544	60	31
ASV_544	ASV_544	60	31
ASV_802	ASV_544	60	31
ASV_819	ASV_544	60	31
ASV_1158	ASV_544	60	31
ASV_1254	ASV_544	60	31
ASV_1287	ASV_544	60	31
ASV_1294	ASV_544	60	31
ASV_1298	ASV_544	60	31
ASV_1335	ASV_544	60	31
ASV_1377	ASV_544	60	31
ASV_1392	ASV_544	60	31
ASV_1653	ASV_544	60	31
ASV_1658	ASV_544	60	31
ASV_1795	ASV_544	60	31
ASV_1871	ASV_544	60	31
ASV_1896	ASV_544	60	31
ASV_1928	ASV_544	60	31
ASV_2075	ASV_544	60	31
ASV_2087	ASV_544	60	31
ASV_2185	ASV_544	60	31
ASV_2729	ASV_544	60	31
ASV_2769	ASV_544	60	31
ASV_2862	ASV_544	60	31
ASV_3117	ASV_544	60	31
ASV_3207	ASV_544	60	31
ASV_3231	ASV_544	60	31
ASV_3380	ASV_544	60	31
ASV_3632	ASV_544	60	31
ASV_4056	ASV_544	60	31
ASV_447	ASV_573	61	32
ASV_569	ASV_573	61	32
ASV_573	ASV_573	61	32
ASV_681	ASV_573	61	32
ASV_750	ASV_573	61	32
ASV_772	ASV_573	61	32
ASV_897	ASV_573	61	32
ASV_960	ASV_573	61	32
ASV_996	ASV_573	61	32
ASV_1315	ASV_573	61	32
ASV_1316	ASV_573	61	32
ASV_1405	ASV_573	61	32
ASV_1515	ASV_573	61	32
ASV_1769	ASV_573	61	32
ASV_1837	ASV_573	61	32
ASV_1957	ASV_573	61	32
ASV_2166	ASV_573	61	32
ASV_2314	ASV_573	61	32
ASV_2337	ASV_573	61	32
ASV_2375	ASV_573	61	32
ASV_2453	ASV_573	61	32
ASV_2522	ASV_573	61	32
ASV_2532	ASV_573	61	32
ASV_2683	ASV_573	61	32
ASV_2721	ASV_573	61	32
ASV_2758	ASV_573	61	32
ASV_2919	ASV_573	61	32
ASV_2965	ASV_573	61	32
ASV_3105	ASV_573	61	32
ASV_3408	ASV_573	61	32
ASV_3537	ASV_573	61	32
ASV_4112	ASV_573	61	32
ASV_580	ASV_580	62	5
ASV_789	ASV_580	62	5
ASV_900	ASV_580	62	5
ASV_983	ASV_580	62	5
ASV_1035	ASV_580	62	5
ASV_107	ASV_589	63	20
ASV_236	ASV_589	63	20
ASV_298	ASV_589	63	20
ASV_327	ASV_589	63	20
ASV_564	ASV_589	63	20
ASV_589	ASV_589	63	20
ASV_595	ASV_589	63	20
ASV_723	ASV_589	63	20
ASV_735	ASV_589	63	20
ASV_807	ASV_589	63	20
ASV_1359	ASV_589	63	20
ASV_1512	ASV_589	63	20
ASV_1674	ASV_589	63	20
ASV_1676	ASV_589	63	20
ASV_1739	ASV_589	63	20
ASV_1915	ASV_589	63	20
ASV_1974	ASV_589	63	20
ASV_2042	ASV_589	63	20
ASV_2306	ASV_589	63	20
ASV_2309	ASV_589	63	20
ASV_644	ASV_707	64	20
ASV_667	ASV_707	64	20
ASV_697	ASV_707	64	20
ASV_707	ASV_707	64	20
ASV_949	ASV_707	64	20
ASV_993	ASV_707	64	20
ASV_1101	ASV_707	64	20
ASV_1266	ASV_707	64	20
ASV_1288	ASV_707	64	20
ASV_1516	ASV_707	64	20
ASV_1632	ASV_707	64	20
ASV_1917	ASV_707	64	20
ASV_1942	ASV_707	64	20
ASV_1964	ASV_707	64	20
ASV_2199	ASV_707	64	20
ASV_2207	ASV_707	64	20
ASV_2397	ASV_707	64	20
ASV_2726	ASV_707	64	20
ASV_3088	ASV_707	64	20
ASV_3166	ASV_707	64	20
ASV_744	ASV_744	65	18
ASV_917	ASV_744	65	18
ASV_1154	ASV_744	65	18
ASV_1292	ASV_744	65	18
ASV_1681	ASV_744	65	18
ASV_1726	ASV_744	65	18
ASV_1797	ASV_744	65	18
ASV_1804	ASV_744	65	18
ASV_1883	ASV_744	65	18
ASV_1960	ASV_744	65	18
ASV_2029	ASV_744	65	18
ASV_2137	ASV_744	65	18
ASV_2167	ASV_744	65	18
ASV_2417	ASV_744	65	18
ASV_3036	ASV_744	65	18
ASV_3219	ASV_744	65	18
ASV_3345	ASV_744	65	18
ASV_3533	ASV_744	65	18
ASV_775	ASV_775	66	2
ASV_859	ASV_775	66	2
ASV_479	ASV_847	67	18
ASV_749	ASV_847	67	18
ASV_847	ASV_847	67	18
ASV_966	ASV_847	67	18
ASV_969	ASV_847	67	18
ASV_1380	ASV_847	67	18
ASV_1503	ASV_847	67	18
ASV_1725	ASV_847	67	18
ASV_1760	ASV_847	67	18
ASV_1796	ASV_847	67	18
ASV_1870	ASV_847	67	18
ASV_2169	ASV_847	67	18
ASV_2276	ASV_847	67	18
ASV_2413	ASV_847	67	18
ASV_3502	ASV_847	67	18
ASV_4238	ASV_847	67	18
ASV_4294	ASV_847	67	18
ASV_4310	ASV_847	67	18
ASV_208	ASV_1011	68	26
ASV_526	ASV_1011	68	26
ASV_665	ASV_1011	68	26
ASV_812	ASV_1011	68	26
ASV_925	ASV_1011	68	26
ASV_940	ASV_1011	68	26
ASV_1011	ASV_1011	68	26
