Family	Decrease	P_value	Comparison
Nannocystaceae	1.9418056286764	6.41785980379883e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Nitrosomonadaceae	-0.622958644359713	0.904828860348633	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Nitrososphaeraceae	3.91951281438391	1.73932266224843e-19	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Nitrospiraceae	0.848152494631634	0.0267204506331684	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Nocardiaceae	0.324192187087817	0.211748127783047	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Nocardioidaceae	1.10908325445256	0.00659010214938872	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
NS9_marine_group	5.50314882115405	4.573957700405e-35	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Oligoflexales_fa	2.37029514943835	5.48049861661118e-08	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Oxalobacteraceae	10.5220539815935	1.83800892884528e-135	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Paenibacillaceae	-1.14311219578832	0.997109741592693	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Pedosphaeraceae	-0.588503871732982	0.909838541113313	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Peptostreptococcaceae	2.19279974177742	4.79841619667923e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Phaselicystidaceae	0.0599417205545407	0.443761702652114	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Phycisphaeraceae	0.170917600234702	0.346654254707133	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Planococcaceae	0.0305568034595964	0.471668894585221	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Polyangiaceae	-4.35371361520251	1	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Promicromonosporaceae	2.30737825274265	1.2402503163574e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Propionibacteriaceae	0.600359520794186	0.0899778095297168	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Pseudohongiellaceae	-0.0885723707727024	0.580071843257745	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Pseudomonadaceae	2.18706726964891	1.78662600513607e-07	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Pseudonocardiaceae	1.95332940647159	5.09591627266615e-06	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Reyranellaceae	1.415082419782	0.000411445704293685	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Rhizobiaceae	2.88094787067866	1.36507483026998e-11	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
Rhizobiales_Incertae_Sedis	3.31387024983738	1.01099239010721e-12	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root
