Family	Decrease	Comparison	Color
Nocardiaceae	0.324192187087817	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Nocardioidaceae	1.10908325445256	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
NS9_marine_group	5.50314882115405	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Oligoflexales_fa	2.37029514943835	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Oxalobacteraceae	10.5220539815935	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Paenibacillaceae	-1.14311219578832	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Pedosphaeraceae	-0.588503871732982	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Peptostreptococcaceae	2.19279974177742	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Phaselicystidaceae	0.0599417205545407	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Phycisphaeraceae	0.170917600234702	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Planococcaceae	0.0305568034595964	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Polyangiaceae	-4.35371361520251	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Promicromonosporaceae	2.30737825274265	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Propionibacteriaceae	0.600359520794186	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Pseudohongiellaceae	-0.0885723707727024	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Pseudomonadaceae	2.18706726964891	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Pseudonocardiaceae	1.95332940647159	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Reyranellaceae	1.415082419782	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rhizobiaceae	2.88094787067866	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rhizobiales_Incertae_Sedis	3.31387024983738	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rhodanobacteraceae	0.837011749622334	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rhodobacteraceae	-1.8000752114943	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rhodocyclaceae	-0.866894386210184	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Roseiflexaceae	3.59625586658554	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Rubrobacteriaceae	1.82893292480194	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Saccharimonadaceae	3.60036194310186	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Salisediminibacteriaceae	0.954177726768634	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Sandaracinaceae	2.54361752530163	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Saprospiraceae	1.14188127853895	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
SC-I-84	-3.42353121749169	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Solibacteraceae	-2.04228219941984	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Solimonadaceae	1.37792586218742	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Solirubrobacteraceae	-0.981280753791395	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Sphingomonadaceae	-0.81499853626017	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Sporichthyaceae	0.0553296970244332	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Staphylococcaceae	4.16127467283701	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Steroidobacteraceae	-0.587555999144406	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Streptomycetaceae	4.64794875107235	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Streptosporangiaceae	2.89004792832925	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Sutterellaceae	-0.787607845374744	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Thermoanaerobaculaceae	-0.592223761249976	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Thermomonosporaceae	7.81104048788513	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
TRA3-20	0.78464767863435	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Unknown_Family	3.905260945467	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Xanthobacteraceae	-2.43401193789461	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
Xanthomonadaceae	3.23697073977445	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_root	Others
67-14	-3.03259589432245	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
A21b	-2.9556219068604	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
A4b	-0.228295283217918	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Acidobacteriaceae_(Subgroup_1)	-3.2249189465994	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Acidobacteriae_fa	-5.78391991762011	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Acidothermaceae	-1.03573036488773	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
AKYH767	0.933031135035293	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Alcaligenaceae	1.57665243319121	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Alicyclobacillaceae	-3.52992550834887	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
B1-7BS	-0.486458940448415	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Bacillaceae	-5.49620465945557	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Bacteriovoracaceae	-1.8779783421832	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Bdellovibrionaceae	-3.83350737503253	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Beijerinckiaceae	-5.37615810558937	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
BIrii41	-2.17833756684971	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
Bryobacteraceae	-7.10241165047975	chlamydomonas_reinhardtii_phycosphere_vs_lotus_japonicus_rhizosphere	Others
